# Place IDs to exclude from sampling.
# One Google place_id per line. Text after `#` is a comment.
# The outline calls for manually inspecting the sample and re-sampling any
# restaurants that aren't strictly Chinese; listing them here causes `sample`
# to skip them on the next run (the seed is fixed, so re-runs are reproducible).
#
# Example:
# ChIJxxxxxxxxxxxxxxxxxxxxxxxxx  # Obviously pan-Asian, not Chinese-only

ChIJ80D8ZAArw4ARpP0Jy_vOr-Q  # Sushi in the restaurant name
ChIJebsId9noyFYRBPlG1jiuGQ0  # Fake
ChIJ75p-_iHHwoARVdkS14137u8  # "Filipinotown"
ChIJ4wCMf49ryYcRe2ncDA4C03k  # Thai fusion
ChIJg512eC51IocRNs82rrVSxE8  # Fake
ChIJoTbLMT-BRoYREB7n2dV1BKg  # Sushi in the name
ChIJ4cEPkHbx3ogRR5dBENtvtwY  # Thai fusion
ChIJ5QA69wZcJ4YRIVp9QfeJenI  # Lots of different cuisines
ChIJTesnXsk_kYgRNt3z1Jyr5gY  # "Tokyo Express"
ChIJ4zBMe8a-QYgRKwZDdf4UrYg  # Sushi in the name
ChIJOwic4MIRTIYR8k2_R5_MmLo  # Mixed asian cuisine
ChIJLxJ2wxVPVVMR701bEctWCA0  # Mixed asian cuisine
